Error,TK_ASSIGNOP,TK_COMMENT,TK_FIELDID,TK_ID,TK_NUM,TK_RNUM,TK_FUNID,TK_RUID,TK_WITH,TK_PARAMETERS,TK_END,TK_WHILE,TK_UNION,TK_ENDUNION,TK_DEFINETYPE,TK_AS,TK_TYPE,TK_MAIN,TK_GLOBAL,TK_PARAMETER,TK_LIST,TK_SQL,TK_SQR,TK_INPUT,TK_OUTPUT,TK_INT,TK_REAL,TK_COMMA,TK_SEM,TK_COLON,TK_DOT,TK_ENDWHILE,TK_OP,TK_CL,TK_IF,TK_THEN,TK_ENDIF,TK_READ,TK_WRITE,TK_RETURN,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_CALL,TK_RECORD,TK_ENDRECORD,TK_ELSE,TK_AND,TK_OR,TK_NOT,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,eps
program,Error,Error,Error,Error,Error,Error,otherFunctions,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,otherFunctions,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
otherFunctions,Error,Error,Error,Error,syn,Error,function,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
mainFunction,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_MAIN,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
function,Error,Error,Error,Error,Error,Error,TK_FUNID,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
input_par,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_INPUT,syn,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
output_par,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_OUTPUT,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
parameter_list,Error,Error,Error,Error,Error,Error,Error,dataType,Error,Error,Error,Error,dataType,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,dataType,dataType,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,dataType,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
dataType,Error,Error,Error,syn,Error,Error,Error,constructedDatatype,Error,Error,Error,Error,constructedDatatype,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,primitiveDatatype,primitiveDatatype,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,constructedDatatype,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
primitiveDatatype,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_INT,TK_REAL,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
constructedDatatype,Error,Error,Error,syn,Error,Error,Error,TK_RUID,Error,Error,Error,Error,TK_UNION,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_RECORD,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
