	Lexeme		Line Number		Token Name		ValueIfNumber		ParentNodeSymbol		isLeafNode		NodeSymbol
	_readMarks		8		TK_FUNID		(null)		function		Yes		TK_FUNID
	---		-2		---		(null)		otherFunctions		No		function
	input		8		TK_INPUT		(null)		input_par		Yes		TK_INPUT
	---		-2		---		(null)		function		No		input_par
	parameter		8		TK_PARAMETER		(null)		input_par		Yes		TK_PARAMETER
	list		8		TK_LIST		(null)		input_par		Yes		TK_LIST
	[		8		TK_SQL		(null)		input_par		Yes		TK_SQL
	int		8		TK_INT		(null)		primitiveDatatype		Yes		TK_INT
	---		-2		---		(null)		dataType		No		primitiveDatatype
	---		-2		---		(null)		parameter_list		No		dataType
	---		-2		---		(null)		input_par		No		parameter_list
	b7		8		TK_ID		(null)		parameter_list		Yes		TK_ID
	(null)		8		eps		(null)		remaining_list		Yes		eps
	---		-2		---		(null)		parameter_list		No		remaining_list
	]		8		TK_SQR		(null)		input_par		Yes		TK_SQR
	output		9		TK_OUTPUT		(null)		output_par		Yes		TK_OUTPUT
	---		-2		---		(null)		function		No		output_par
	parameter		9		TK_PARAMETER		(null)		output_par		Yes		TK_PARAMETER
	list		9		TK_LIST		(null)		output_par		Yes		TK_LIST
	[		9		TK_SQL		(null)		output_par		Yes		TK_SQL
	record		9		TK_RECORD		(null)		constructedDatatype		Yes		TK_RECORD
	---		-2		---		(null)		dataType		No		constructedDatatype
	#marks		9		TK_RUID		(null)		constructedDatatype		Yes		TK_RUID
	---		-2		---		(null)		parameter_list		No		dataType
	---		-2		---		(null)		output_par		No		parameter_list
	b3c45		9		TK_ID		(null)		parameter_list		Yes		TK_ID
	(null)		9		eps		(null)		remaining_list		Yes		eps
	---		-2		---		(null)		parameter_list		No		remaining_list
	]		9		TK_SQR		(null)		output_par		Yes		TK_SQR
	;		8		TK_SEM		(null)		function		Yes		TK_SEM
	(null)		10		eps		(null)		typeDefinitions		Yes		eps
	---		-2		---		(null)		stmts		No		typeDefinitions
	---		-2		---		(null)		function		No		stmts
	(null)		10		eps		(null)		declarations		Yes		eps
	---		-2		---		(null)		stmts		No		declarations
	read		10		TK_READ		(null)		ioStmt		Yes		TK_READ
	---		-2		---		(null)		stmt		No		ioStmt
	(		10		TK_OP		(null)		ioStmt		Yes		TK_OP
	b3c45		10		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		10		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	maths		10		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		10		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		10		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		10		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		stmts		No		otherStmts
	read		11		TK_READ		(null)		ioStmt		Yes		TK_READ
	---		-2		---		(null)		stmt		No		ioStmt
	(		11		TK_OP		(null)		ioStmt		Yes		TK_OP
